Consumo_T,UTEM CIER DAVID-Mains_A (kWatts),UTEM CIER DAVID-Mains_B (kWatts),UTEM CIER DAVID-Mains_C (kWatts),UTEM CIER DAVID-Air Conditioner-AC fotovoltaica 1 (kWatts),UTEM CIER DAVID-Air Conditioner-AC fotovoltaica 2 (kWatts),UTEM CIER DAVID-Air Conditioner-AC Aula Magna  (kWatts),UTEM CIER DAVID-Air Conditioner-AC Aula Magna (kWatts),UTEM CIER DAVID-Sub Panel-Tab Secundario L1 (kWatts),UTEM CIER DAVID-Sub Panel-Tab Secundario L2 (kWatts),UTEM CIER DAVID-Sub Panel-Tab Secundario L3 (kWatts),UTEM CIER DAVID-Sub Panel-Tablero Secundario2 L1 (kWatts),UTEM CIER DAVID-Sub Panel-Tablero Secundario2 L2 (kWatts),UTEM CIER DAVID-Sub Panel-Tablero Secundario2 L3 (kWatts),UTEM CIER DAVID-Solar_Generation-Inversor (kWatts),UTEM CIER DAVID-Room_Multi-use Circuit-Contactos David (kWatts),UTEM CIER DAVID-Lights-Alumbrado (kWatts),UTEM CIER DAVID-Lights-Alumbrado Fotovoltaico (kWatts),UTEM CIER DAVID-Other-Circuit_15 (kWatts),UTEM CIER DAVID-Other-Circuit_16 (kWatts)
0.74,0.2128,0.0092,0.0243,0.0169,0.0075,0.0125,0.0144,0.0551,0.0243,0.0094,0.1784,0.0,0.0026,0.0,0.0,0.1775,0.0,0,0
0.75,0.2129,0.0092,0.0257,0.0169,0.0078,0.0126,0.0144,0.0555,0.0244,0.0085,0.1783,0.0,0.0025,0.0,0.0,0.1773,0.0,0,0
0.74,0.2118,0.0092,0.0257,0.0169,0.0077,0.0125,0.0146,0.0549,0.0245,0.0085,0.178,0.0,0.0026,0.0,0.0,0.177,0.0,0,0
0.75,0.2127,0.0093,0.0258,0.0169,0.0075,0.0124,0.0145,0.0554,0.0246,0.0085,0.1784,0.0,0.0027,0.0,0.0,0.1774,0.0,0,0
0.75,0.2138,0.0092,0.0256,0.0169,0.0076,0.0124,0.0145,0.056,0.0245,0.0084,0.1789,0.0,0.0026,0.0,0.0,0.1779,0.0,0,0
0.75,0.2132,0.0092,0.0257,0.017,0.0078,0.0123,0.0145,0.0555,0.0246,0.0085,0.1788,0.0,0.0025,0.0,0.0,0.1777,0.0,0,0
0.75,0.2135,0.008,0.0257,0.017,0.0077,0.0125,0.0146,0.056,0.0252,0.0085,0.1787,0.0,0.0029,0.0,0.0,0.1777,0.0,0,0
0.75,0.213,0.0061,0.0258,0.017,0.0081,0.0125,0.0146,0.0558,0.0262,0.0085,0.1786,0.0,0.0027,0.0,0.0,0.1778,0.0,0,0
0.75,0.213,0.0061,0.0257,0.017,0.0082,0.0126,0.0146,0.0555,0.0262,0.0085,0.1788,0.0,0.0028,0.0,0.0,0.1782,0.0,0,0
0.75,0.2133,0.0061,0.0257,0.0171,0.008,0.0126,0.0147,0.0558,0.0263,0.0085,0.179,0.0,0.003,0.0,0.0,0.1783,0.0,0,0
0.75,0.2137,0.0061,0.0257,0.0172,0.0077,0.0126,0.0147,0.0559,0.0264,0.0085,0.1791,0.0,0.0028,0.0,0.0,0.1785,0.0,0,0
0.75,0.2132,0.0061,0.0256,0.0172,0.0083,0.0126,0.0146,0.0556,0.0264,0.0085,0.1789,0.0,0.0028,0.0,0.0,0.1784,0.0,0,0
