Consumo_T,Aula Medios,Cubiculos ,Direccion 1,Direccion 2 ,Rack,Sala Juntas,Maestros 1,Maestros 2,L1,L2 ,L3 
1.147,0.0125,0,0.0216,0.0252,0.3718,0.1047,0.0041,0.0114,0.1448,0.2406,0.2103
0.9787,0.0113,0,0.0216,0.0254,0.3706,0.105,0.0015,0.0104,0.1455,0.0767,0.2107
0.9668,0.0119,0,0.0216,0.0255,0.3604,0.105,0.002,0.0101,0.1456,0.074,0.2107
1.0008,0.0112,0,0.0217,0.0252,0.3562,0.105,0.0021,0.0101,0.1449,0.0722,0.2522
1.4435,0.0121,0,0.0216,0.0255,0.3614,0.1048,0.0034,0.0103,0.1437,0.0738,0.6869
1.3641,0.0117,0,0.0215,0.0254,0.3639,0.1049,0.0031,0.0104,0.1432,0.0735,0.6065
0.9734,0.0113,0,0.0213,0.0253,0.3683,0.1051,0.0016,0.0105,0.1429,0.0766,0.2105
0.9738,0.0119,0,0.0215,0.0254,0.3678,0.1051,0.0021,0.0109,0.1422,0.0763,0.2106
0.9761,0.0107,0,0.0217,0.0253,0.3709,0.1045,0.0027,0.0106,0.1418,0.0771,0.2108
0.9669,0.012,0,0.0215,0.0255,0.3608,0.1047,0.0023,0.0107,0.1413,0.0775,0.2106
0.9549,0.0118,0,0.0215,0.0254,0.3506,0.1049,0.0026,0.0106,0.1407,0.076,0.2108
0.9343,0.0101,0,0.0215,0.0253,0.3341,0.1049,0.002,0.0105,0.14,0.0752,0.2107
0.9183,0.0117,0,0.0219,0.0254,0.319,0.1047,0.002,0.0109,0.1396,0.0724,0.2107
0.9267,0.011,0,0.0218,0.0252,0.3251,0.1045,0.0037,0.0109,0.1393,0.0744,0.2108
0.9268,0.0118,0,0.0217,0.0254,0.3272,0.105,0.0029,0.0106,0.1391,0.0724,0.2107
0.9175,0.0112,0,0.0218,0.0254,0.3209,0.1048,0.0021,0.0105,0.1385,0.0715,0.2108
0.9274,0.011,0,0.0219,0.0254,0.3266,0.1048,0.0021,0.011,0.1382,0.0755,0.2109
0.9319,0.0114,0,0.0216,0.0253,0.3299,0.105,0.0039,0.0105,0.1379,0.0755,0.2109
0.9197,0.0111,0,0.022,0.0251,0.3235,0.1049,0.0023,0.0101,0.1376,0.0721,0.211
0.9252,0.0114,0,0.0221,0.0254,0.3206,0.1046,0.0021,0.011,0.1373,0.0799,0.2108
0.9183,0.0116,0,0.0218,0.0254,0.319,0.105,0.0031,0.0102,0.1372,0.0743,0.2107
0.9175,0.0111,0,0.0218,0.0254,0.3181,0.1052,0.0029,0.0104,0.137,0.0753,0.2103
0.9143,0.011,0,0.0219,0.0255,0.3155,0.1052,0.0029,0.0099,0.1369,0.0747,0.2108
0.9132,0.0116,0,0.0219,0.0255,0.3136,0.1052,0.0021,0.0107,0.1364,0.0752,0.211
0.9137,0.0114,0,0.022,0.0254,0.313,0.1054,0.0034,0.0098,0.1366,0.076,0.2107
0.9134,0.0114,0,0.0222,0.0255,0.315,0.1055,0.0019,0.0108,0.1363,0.0735,0.2113
0.9135,0.0108,0,0.0221,0.0255,0.3144,0.1053,0.0025,0.0102,0.1359,0.0753,0.2115
0.9134,0.0118,0,0.0222,0.025,0.3152,0.1056,0.0027,0.0103,0.1361,0.0735,0.211
0.9211,0.0109,0,0.0219,0.0257,0.3147,0.1055,0.0024,0.0105,0.1357,0.0824,0.2114
0.9156,0.0106,0,0.0219,0.0256,0.314,0.1055,0.0025,0.0096,0.1359,0.079,0.211
0.9103,0.012,0,0.0219,0.0255,0.3115,0.1053,0.0025,0.01,0.1357,0.0748,0.2111
0.8632,0.0108,0,0.0219,0.0256,0.3153,0.1056,0.0031,0.0115,0.0831,0.075,0.2113
0.843,0.0122,0,0.0219,0.0255,0.3176,0.1055,0.0023,0.0113,0.06,0.0758,0.2109
0.8397,0.0116,0,0.0222,0.0256,0.3164,0.1056,0.0028,0.0102,0.0598,0.0745,0.211
0.8297,0.0109,0,0.0223,0.0256,0.3088,0.1056,0.0025,0.0102,0.0598,0.0732,0.2108
0.829,0.0117,0,0.0218,0.0254,0.3033,0.1058,0.0032,0.0106,0.06,0.0758,0.2114
0.8204,0.0116,0,0.0223,0.0255,0.2977,0.1056,0.002,0.0109,0.0598,0.0732,0.2118
0.8298,0.0118,0,0.0221,0.0254,0.3089,0.1054,0.0023,0.0096,0.0598,0.0728,0.2117
0.8313,0.0115,0,0.0221,0.0255,0.3075,0.1056,0.0027,0.0114,0.0598,0.0739,0.2113
0.8367,0.012,0,0.0221,0.0255,0.3106,0.1056,0.0035,0.0104,0.0599,0.0761,0.211
0.8331,0.0112,0,0.022,0.0255,0.3093,0.1057,0.0027,0.01,0.06,0.0756,0.2111
0.8318,0.011,0,0.022,0.0257,0.3117,0.1055,0.0021,0.0095,0.0599,0.0737,0.2107
0.8344,0.0121,0,0.022,0.025,0.3101,0.1056,0.0036,0.0107,0.0597,0.0747,0.2109
